State,Longitude,Latitude
Andaman and Nicobar,92.88957895607236,11.942373315646945
Andhra Pradesh,79.91620298244129,16.554124203986422
Arunachal Pradesh,94.54532681056138,27.725765415186213
Assam,92.65731035572504,26.321340891915742
Bihar,85.6367740131486,25.771393543753963
Chandigarh,76.75872466,30.7426
Chhattisgarh,82.12509333594427,21.555738582984045
Dadra and Nagar Haveli,73.09454961,20.21513217
Daman and Diu,72.41121190648654,20.494569789560284
Delhi,77.12804518,28.645944300000004
Goa,73.8660162584672,15.393504042993381
Gujarat,72.19574738883901,22.37440584958047
Haryana,76.52123742961845,29.195616276383877
Himachal Pradesh,76.85561813540754,31.649468875492705
Jammu and Kashmir,75.00063061643166,33.651699000229414
Jharkhand,85.85996246441698,23.767505546745678
Karnataka,76.29962467945006,14.369817089467844
Kerala,76.2177062100637,10.326706356099079
Lakshadweep,72.82992744,10.43639053
Madhya Pradesh,78.0824921329296,23.635605202612826
Maharashtra,75.270554473907,19.392515612925344
Manipur,93.86449349532845,24.738974893665528
Meghalaya,91.2375106953515,25.480367364765502
Mizoram,92.81661900620362,23.45835659105703
Nagaland,94.32575260288996,26.06185707619746
Orissa,84.98396583642707,20.52959735874132
Puducherry,79.7599736336565,11.944312931975507
Punjab,75.452952256905,30.91206149181651
Rajasthan,75.22539475422067,26.493281966067006
Sikkim,88.51230521984732,27.337679796350727
Tamil Nadu,78.76274652265822,11.159711328934925
Tripura,91.65871313943327,23.709304849812497
Uttar Pradesh,80.65919244361825,27.06916343191562
Uttaranchal,78.84563219146264,29.910255940855848
West Bengal,88.14959609251514,23.421343178895288
