State,Longitude,Latitude
Andaman and Nicobar,92.90425735525045,11.845454927168399
Andhra Pradesh,79.97385121359896,16.557795934792352
Arunachal Pradesh,94.6623141206647,27.72904985313979
Assam,92.68568626290354,26.336085830833415
Bihar,85.62534126970718,25.766303272306075
Chandigarh,76.75872466,30.7426
Chhattisgarh,82.12782675167301,21.55195971255835
Dadra and Nagar Haveli,73.09454961,20.215132170000004
Daman and Diu,72.28044798275195,20.513802317163158
Delhi,77.12804518,28.645944300000007
Goa,73.86574064544497,15.394225026558736
Gujarat,72.18750518311046,22.37819881436921
Haryana,76.49894521749557,29.229507750953644
Himachal Pradesh,76.85663275206431,31.65320768629747
Jammu and Kashmir,75.00794343054076,33.63368522304364
Jharkhand,85.87307895838461,23.754476578925658
Karnataka,76.24192278091935,14.387646305916299
Kerala,76.22961610979901,10.299734542561001
Lakshadweep,72.82992744,10.436390529999999
Madhya Pradesh,78.11342801165362,23.631026937997866
Maharashtra,75.32262083676606,19.37025338816622
Manipur,93.85297164915906,24.718395514498585
Meghalaya,91.23060135619838,25.478761503653818
Mizoram,92.82329684757462,23.46017562281006
Nagaland,94.3705421955022,26.101008024735716
Orissa,85.00227944796377,20.534809345326444
Puducherry,79.71055402955935,11.87026028793732
Punjab,75.45751370184799,30.923044104266943
Rajasthan,74.83894799328242,26.473922424113198
Sikkim,88.50779711921037,27.340023172745916
Tamil Nadu,78.74296176404843,11.128512112685732
Tripura,91.65250205094576,23.707533299733278
Uttar Pradesh,80.67263981471628,27.052210589714335
Uttaranchal,78.88461124441214,29.930554662588083
West Bengal,88.15177427577096,23.401895343482565
