Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
AAIT,iShares MSCI All Country Asia Information Technology Index Fund,iShares MSCI All Country Asia Information Technology Index Fund,G,N,N,100
AAL,"American Airlines Group, Inc.","American Airlines Group, Inc. - Common Stock",Q,N,N,100
AAME,Atlantic American Corporation,Atlantic American Corporation - Common Stock,G,N,N,100
AAOI,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. - Common Stock",G,N,N,100
AAON,"AAON, Inc.","AAON, Inc. - Common Stock",Q,N,N,100
AAPL,Apple Inc.,Apple Inc. - Common Stock,Q,N,N,100
AAVL,"Avalanche Biotechnologies, Inc.","Avalanche Biotechnologies, Inc. - Common Stock",G,N,N,100
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide Holdings - Common Stock,Q,N,N,100
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund,G,N,N,100
ABAC,"Aoxin Tianli Group, Inc.","Aoxin Tianli Group, Inc. - Common Shares",S,N,N,100
ABAX,"ABAXIS, Inc.","ABAXIS, Inc. - Common Stock",Q,N,N,100
ABCB,Ameris Bancorp,Ameris Bancorp - Common Stock,Q,N,N,100
ABCD,"Cambium Learning Group, Inc.","Cambium Learning Group, Inc. - Common Stock",S,N,N,100
ABCO,The Advisory Board Company,The Advisory Board Company - Common Stock,Q,N,N,100
ABCW,Anchor BanCorp Wisconsin Inc.,Anchor BanCorp Wisconsin Inc. - Common Stock,Q,N,N,100
ABDC,Alcentra Capital Corp.,Alcentra Capital Corp. - Common Stock,Q,N,N,100
ABGB,"Abengoa, S.A.","Abengoa, S.A. - American Depositary Shares",Q,N,N,100
ABIO,"ARCA biopharma, Inc.","ARCA biopharma, Inc. - Common Stock",S,N,N,100
ABMD,"ABIOMED, Inc.","ABIOMED, Inc. - Common Stock",Q,N,N,100
ABTL,Autobytel Inc.,Autobytel Inc. - Common Stock,S,N,N,100
ABY,Abengoa Yield plc,Abengoa Yield plc - Ordinary Shares,Q,N,N,100
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100
ACAS,"American Capital, Ltd.","American Capital, Ltd. - Common Stock",Q,N,N,100
ACAT,Arctic Cat Inc.,Arctic Cat Inc. - Common Stock,Q,N,N,100
ACET,Aceto Corporation,Aceto Corporation - Common Stock,Q,N,N,100
ACFC,Atlantic Coast Financial Corporation,Atlantic Coast Financial Corporation - Common Stock,G,N,N,100
ACFN,"Acorn Energy, Inc.","Acorn Energy, Inc. - Common Stock",G,N,N,100
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd. - Common Stock,Q,N,N,100
ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100
ACHN,"Achillion Pharmaceuticals, Inc.","Achillion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
ACIW,"ACI Worldwide, Inc.","ACI Worldwide, Inc. - Common Stock",Q,N,N,100
ACLS,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc. - Common Stock",Q,N,N,100
ACNB,ACNB Corporation,ACNB Corporation - Common Stock,S,N,N,100
ACOR,"Acorda Therapeutics, Inc.","Acorda Therapeutics, Inc. - Common Stock",Q,N,N,100
ACPW,"Active Power, Inc.","Active Power, Inc. - Common Stock",S,N,N,100
ACRX,"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc. - Common Stock",G,N,N,100
ACSF,"American Capital Senior Floating, Ltd.","American Capital Senior Floating, Ltd. - Common Stock",Q,N,N,100
ACST,"Acasti Pharma, Inc.","Acasti Pharma, Inc. - Class A Common Stock",S,N,D,100
ACTA,Actua Corporation,Actua Corporation - Common Stock,Q,N,N,100
ACTG,Acacia Research Corporation,Acacia Research Corporation - Common Stock,Q,N,N,100
ACTS,"Actions Semiconductor Co., Ltd.","Actions Semiconductor Co., Ltd. - American Depositary Shares, each representing Six Ordinary Shares",Q,N,N,100
ACUR,"Acura Pharmaceuticals, Inc.","Acura Pharmaceuticals, Inc. - Common Stock",S,N,D,100
ACWI,iShares MSCI ACWI Index Fund,iShares MSCI ACWI Index Fund,G,N,N,100
ACWX,iShares MSCI ACWI ex US Index Fund,iShares MSCI ACWI ex US Index Fund,G,N,N,100
ACXM,Acxiom Corporation,Acxiom Corporation - Common Stock,Q,N,N,100
ADAT,Authentidate Holding Corp.,Authentidate Holding Corp. - Common Stock,S,N,N,100
ADBE,Adobe Systems Incorporated,Adobe Systems Incorporated - Common Stock,Q,N,N,100
ADEP,"Adept Technology, Inc.","Adept Technology, Inc. - Common Stock",S,N,N,100
ADES,"Advanced Emissions Solutions, Inc.","Advanced Emissions Solutions, Inc. - Common Stock",S,N,E,100
ADHD,Alcobra Ltd.,Alcobra Ltd. - Ordinary Shares,G,N,N,100
ADI,"Analog Devices, Inc.","Analog Devices, Inc. - Common Stock",Q,N,N,100
ADMA,ADMA Biologics Inc,ADMA Biologics Inc - Common Stock,S,N,N,100
ADMP,Adamis Pharmaceuticals Corporation,Adamis Pharmaceuticals Corporation - Common Stock,S,N,N,100
ADMS,"Adamas Pharmaceuticals, Inc.","Adamas Pharmaceuticals, Inc. - Common Stock",G,N,N,100
ADNC,"Audience, Inc.","Audience, Inc. - Common Stock",Q,N,N,100
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Common Stock",Q,N,N,100
ADRA,BLDRS Asia 50 ADR Index Fund,BLDRS Asia 50 ADR Index Fund,G,N,N,100
ADRD,BLDRS Developed Markets 100 ADR Index Fund,BLDRS Developed Markets 100 ADR Index Fund,G,N,N,100
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,BLDRS Emerging Markets 50 ADR Index Fund,G,N,N,100
ADRU,BLDRS Europe 100 ADR Index Fund,BLDRS Europe 100 ADR Index Fund,G,N,N,100
ADSK,"Autodesk, Inc.","Autodesk, Inc. - Common Stock",Q,N,N,100
ADTN,"ADTRAN, Inc.","ADTRAN, Inc. - Common Stock",Q,N,N,100
ADUS,Addus HomeCare Corporation,Addus HomeCare Corporation - Common Stock,Q,N,N,100
ADVS,"Advent Software, Inc.","Advent Software, Inc. - Common Stock",Q,N,N,100
ADXS,"Advaxis, Inc.","Advaxis, Inc. - Common Stock",S,N,N,100
ADXSW,"Advaxis, Inc.","Advaxis, Inc. - Warrants",S,N,N,100
AEGN,Aegion Corp,Aegion Corp - Class A Common Stock,Q,N,N,100
AEGR,"Aegerion Pharmaceuticals, Inc.","Aegerion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AEHR,Aehr Test Systems,Aehr Test Systems - Common Stock,S,N,N,100
AEIS,"Advanced Energy Industries, Inc.","Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100
AEPI,AEP Industries Inc.,AEP Industries Inc. - Common Stock,Q,N,N,100
AERI,"Aerie Pharmaceuticals, Inc.","Aerie Pharmaceuticals, Inc. - Common Stock",G,N,N,100
AETI,"American Electric Technologies, Inc.","American Electric Technologies, Inc. - Common Stock",S,N,N,100
AEY,"ADDvantage Technologies Group, Inc.","ADDvantage Technologies Group, Inc. - Common Stock",G,N,N,100
AEZS,AEterna Zentaris Inc.,AEterna Zentaris Inc. - Common Stock,S,N,D,100
AFAM,Almost Family Inc,Almost Family Inc - Common Stock,Q,N,N,100
AFCB,Athens Bancshares Corporation,Athens Bancshares Corporation - Common Stock,S,N,N,100
AFFX,"Affymetrix, Inc.","Affymetrix, Inc. - Common Stock",Q,N,N,100
AFH,"Atlas Financial Holdings, Inc.","Atlas Financial Holdings, Inc. - Ordinary Shares",S,N,N,100
AFMD,Affimed N.V.,Affimed N.V. - Common Stock,G,N,N,100
AFOP,"Alliance Fiber Optic Products, Inc.","Alliance Fiber Optic Products, Inc. - Common Stock",G,N,N,100
AFSI,"AmTrust Financial Services, Inc.","AmTrust Financial Services, Inc. - Common Stock",Q,N,N,100
AGEN,Agenus Inc.,Agenus Inc. - Common Stock,S,N,N,100
AGII,"Argo Group International Holdings, Ltd.","Argo Group International Holdings, Ltd. - Common Stock",Q,N,N,100
AGIIL,"Argo Group International Holdings, Ltd.","Argo Group International Holdings, Ltd. - 6.5% Senior Notes Due 2042",Q,N,N,100
AGIO,"Agios Pharmaceuticals, Inc.","Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AGNC,American Capital Agency Corp.,American Capital Agency Corp. - Common Stock,Q,N,N,100
AGNCB,American Capital Agency Corp.,American Capital Agency Corp. - Depositary Shares representing 1/1000th Series B Preferred Stock,Q,N,N,100
AGNCP,American Capital Agency Corp.,American Capital Agency Corp. - Cumulative Preferred Series A,Q,N,N,100
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,G,N,N,100
AGRX,"Agile Therapeutics, Inc.","Agile Therapeutics, Inc. - Common Stock",G,N,N,100
AGTC,Applied Genetic Technologies Corporation,Applied Genetic Technologies Corporation - Common Stock,G,N,N,100
AGYS,"Agilysys, Inc.","Agilysys, Inc. - Common Stock",Q,N,N,100
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,G,N,N,100
AHGP,"Alliance Holdings GP, L.P.","Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests",Q,N,N,100
AHPI,"Allied Healthcare Products, Inc.","Allied Healthcare Products, Inc. - Common Stock",G,N,N,100
AIMC,Altra Industrial Motion Corp.,Altra Industrial Motion Corp. - Common Stock,Q,N,N,100
AINV,Apollo Investment Corporation,Apollo Investment Corporation - Closed End Fund,Q,N,N,100
AIQ,"Alliance HealthCare Services, Inc.","Alliance HealthCare Services, Inc. - Common Stock",G,N,N,100
AIRM,Air Methods Corporation,Air Methods Corporation - Common Stock,Q,N,N,100
AIRR,First Trust RBA American Industrial Renaissance ETF,First Trust RBA American Industrial Renaissance ETF,G,N,N,100
AIRT,"Air T, Inc.","Air T, Inc. - Common Stock",S,N,N,100
AIXG,Aixtron SE,"Aixtron SE - American Depositary Shares, each representing one Ordinary Share",Q,N,N,100
AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc. - Common Stock",Q,N,N,100
AKAO,"Achaogen, Inc.","Achaogen, Inc. - Common Stock",G,N,N,100
AKBA,"Akebia Therapeutics, Inc.","Akebia Therapeutics, Inc. - Common Stock",G,N,N,100
AKER,Akers Biosciences Inc,Akers Biosciences Inc - Common Stock,S,N,N,100
AKRX,"Akorn, Inc.","Akorn, Inc. - Common Stock",Q,N,N,100
ALCO,"Alico, Inc.","Alico, Inc. - Common Stock",Q,N,N,100
ALDR,"Alder BioPharmaceuticals, Inc.","Alder BioPharmaceuticals, Inc. - Common Stock",G,N,N,100
ALDX,"Aldeyra Therapeutics, Inc.","Aldeyra Therapeutics, Inc. - Common Stock",S,N,N,100
ALGN,"Align Technology, Inc.","Align Technology, Inc. - Common Stock",Q,N,N,100
ALGT,Allegiant Travel Company,Allegiant Travel Company - Common Stock,Q,N,N,100
ALIM,"Alimera Sciences, Inc.","Alimera Sciences, Inc. - Common Stock",G,N,N,100
ALKS,Alkermes plc,Alkermes plc - Ordinary Shares,Q,N,N,100
ALLB,"Alliance Bancorp, Inc. of Pennsylvania","Alliance Bancorp, Inc. of Pennsylvania - Common Stock",G,N,N,100
ALLT,Allot Communications Ltd.,Allot Communications Ltd. - Ordinary Shares,Q,N,N,100
ALNY,"Alnylam Pharmaceuticals, Inc.","Alnylam Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
ALOG,Analogic Corporation,Analogic Corporation - Common Stock,Q,N,N,100
ALOT,Astro,"Astro-Med, Inc. - Common Stock",G,N,N,100
ALQA,"Alliqua, Inc.","Alliqua, Inc. - Common Stock",S,N,N,100
ALSK,"Alaska Communications Systems Group, Inc.","Alaska Communications Systems Group, Inc. - Common Stock",Q,N,N,100
ALTR,Altera Corporation,Altera Corporation - Common Stock,Q,N,N,100
ALXA,"Alexza Pharmaceuticals, Inc.","Alexza Pharmaceuticals, Inc. - Common Stock",G,N,D,100
ALXN,"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AMAG,"AMAG Pharmaceuticals, Inc.","AMAG Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AMAT,"Applied Materials, Inc.","Applied Materials, Inc. - Common Stock",Q,N,N,100
AMBA,"Ambarella, Inc.","Ambarella, Inc. - Ordinary Shares",Q,N,N,100
AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc. - Common Stock",Q,N,N,100
AMBCW,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc. - Warrants",Q,N,N,100
AMCC,Applied Micro Circuits Corporation,Applied Micro Circuits Corporation - Common Stock,Q,N,N,100
AMCF,Andatee China Marine Fuel Services Corporation,Andatee China Marine Fuel Services Corporation - Common Stock,S,N,N,100
AMCN,AirMedia Group Inc,"AirMedia Group Inc - American Depositary Shares, each representing two ordinary shares",Q,N,N,100
AMCX,AMC Networks Inc.,AMC Networks Inc. - Class A Common Stock,Q,N,N,100
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc. - Common Stock",S,N,N,100
AMDA,Amedica Corporation,Amedica Corporation - Common Stock,S,N,N,100
AMED,Amedisys Inc,Amedisys Inc - Common Stock,Q,N,N,100
AMGN,Amgen Inc.,Amgen Inc. - Common Stock,Q,N,N,100
AMIC,American Independence Corp.,American Independence Corp. - Common Stock,G,N,N,100
AMKR,"Amkor Technology, Inc.","Amkor Technology, Inc. - Common Stock",Q,N,N,100
AMNB,"American National Bankshares, Inc.","American National Bankshares, Inc. - Common Stock",Q,N,N,100
AMOT,"Allied Motion Technologies, Inc.","Allied Motion Technologies, Inc. - Common Stock",G,N,N,100
AMOV,"America Movil, S.A.B. de C.V.","America Movil, S.A.B. de C.V. - American Depositary Shares, each representing 20 A Shares",Q,N,N,100
AMPH,"Amphastar Pharmaceuticals, Inc.","Amphastar Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AMRB,American River Bankshares,American River Bankshares - Common Stock,Q,N,N,100
AMRI,"Albany Molecular Research, Inc.","Albany Molecular Research, Inc. - Common Stock",Q,N,N,100
AMRK,A,"A-Mark Precious Metals, Inc. - Common Stock",Q,N,N,100
AMRN,Amarin Corporation plc,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",G,N,N,100
AMRS,"Amyris, Inc.","Amyris, Inc. - Common Stock",Q,N,N,100
AMSC,American Superconductor Corporation,American Superconductor Corporation - Common Stock,Q,N,N,100
AMSF,"AMERISAFE, Inc.","AMERISAFE, Inc. - Common Stock",Q,N,N,100
AMSG,Amsurg Corp.,Amsurg Corp. - Common Stock,Q,N,N,100
AMSGP,Amsurg Corp.,"Amsurg Corp. - 5.250% Mandatory Convertible Preferred Stock, Series A-1",Q,N,N,100
AMSWA,"American Software, Inc.","American Software, Inc. - Class A Common Stock",Q,N,N,100
AMTX,"Aemetis, Inc","Aemetis, Inc - Common Stock",G,N,N,100
AMWD,American Woodmark Corporation,American Woodmark Corporation - Common Stock,Q,N,N,100
AMZN,"Amazon.com, Inc.","Amazon.com, Inc. - Common Stock",Q,N,N,100
ANAC,"Anacor Pharmaceuticals, Inc.","Anacor Pharmaceuticals, Inc. - Common Stock",G,N,N,100
ANAD,"ANADIGICS, Inc.","ANADIGICS, Inc. - Common Stock",Q,N,D,100
ANAT,American National Insurance Company,American National Insurance Company - Common Stock,Q,N,D,100
ANCB,Anchor Bancorp,Anchor Bancorp - Common Stock,G,N,N,100
ANCI,American Caresource Holdings Inc,American Caresource Holdings Inc - Common Stock,S,N,D,100
ANCX,Access National Corporation,Access National Corporation - Common Stock,G,N,N,100
ANDE,"The Andersons, Inc.","The Andersons, Inc. - Common Stock",Q,N,N,100
ANGI,"Angie's List, Inc.","Angie's List, Inc. - Common Stock",Q,N,N,100
ANGO,"AngioDynamics, Inc.","AngioDynamics, Inc. - Common Stock",Q,N,N,100
ANIK,Anika Therapeutics Inc.,Anika Therapeutics Inc. - Common Stock,Q,N,N,100
ANIP,"ANI Pharmaceuticals, Inc.","ANI Pharmaceuticals, Inc. - Common Stock",G,N,N,100
ANSS,"ANSYS, Inc.","ANSYS, Inc. - Common Stock",Q,N,N,100
ANTH,"Anthera Pharmaceuticals, Inc.","Anthera Pharmaceuticals, Inc. - Common Stock",G,N,D,100
ANY,Sphere 3D Corp,Sphere 3D Corp - Common Shares,G,N,N,100
AOSL,Alpha and Omega Semiconductor Limited,Alpha and Omega Semiconductor Limited - Common Shares,Q,N,N,100
APAGF,Apco Oil and Gas International Inc.,Apco Oil and Gas International Inc. - Ordinary Shares,S,N,N,100
APDN,Applied DNA Sciences Inc,Applied DNA Sciences Inc - Common Stock,S,N,N,100
APDNW,Applied DNA Sciences Inc,Applied DNA Sciences Inc - Warrant,S,N,N,100
APEI,"American Public Education, Inc.","American Public Education, Inc. - Common Stock",Q,N,N,100
APOG,"Apogee Enterprises, Inc.","Apogee Enterprises, Inc. - Common Stock",Q,N,N,100
APOL,"Apollo Education Group, Inc.","Apollo Education Group, Inc. - Class A Common Stock",Q,N,N,100
APPY,"Venaxis, Inc.","Venaxis, Inc. - Common Stock",S,N,N,100
APRI,"Apricus Biosciences, Inc","Apricus Biosciences, Inc - Common Stock",S,N,N,100
APSA,Alto Palermo S.A.,"Alto Palermo S.A. - American Depository Shares, each representing forty shares of Common Stock",Q,N,N,100
APTO,"Aptose Biosciences, Inc.","Aptose Biosciences, Inc. - Common Shares",S,N,N,100
APWC,Asia Pacific Wire & Cable Corporation Limited,"Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share",G,N,N,100
AQXP,"Aquinox Pharmaceuticals, Inc.","Aquinox Pharmaceuticals, Inc. - Common Stock",G,N,N,100
ARAY,Accuray Incorporated,Accuray Incorporated - Common Stock,Q,N,N,100
ARCB,ArcBest Corporation,ArcBest Corporation - Common Stock,Q,N,N,100
ARCC,Ares Capital Corporation,Ares Capital Corporation - Closed End Fund,Q,N,N,100
ARCI,"Appliance Recycling Centers of America, Inc.","Appliance Recycling Centers of America, Inc. - Common Stock",S,N,N,100
ARCP,"American Realty Capital Properties, Inc.","American Realty Capital Properties, Inc. - Common Stock",Q,N,E,100
ARCPP,"American Realty Capital Properties, Inc.","American Realty Capital Properties, Inc. - 6.70% Series F Cumulative Redeemable Preferred Stock",Q,N,E,100
ARCW,"ARC Group Worldwide, Inc.","ARC Group Worldwide, Inc. - Common Stock",S,N,N,100
ARDM,Aradigm Corporation,Aradigm Corporation - Common Stock,S,N,N,100
ARDX,"Ardelyx, Inc.","Ardelyx, Inc. - Common Stock",G,N,N,100
AREX,Approach Resources Inc.,Approach Resources Inc. - Common Stock,Q,N,N,100
ARGS,"Argos Therapeutics, Inc.","Argos Therapeutics, Inc. - Common Stock",G,N,N,100
ARIA,"ARIAD Pharmaceuticals, Inc.","ARIAD Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
ARII,"American Railcar Industries, Inc.","American Railcar Industries, Inc. - Common Stock",Q,N,N,100
ARIS,"ARI Network Services, Inc.","ARI Network Services, Inc. - Common Stock",S,N,N,100
ARKR,Ark Restaurants Corp.,Ark Restaurants Corp. - Common Stock,G,N,N,100
ARLP,"Alliance Resource Partners, L.P.","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",Q,N,N,100
ARMH,ARM Holdings plc,ARM Holdings plc - American Depositary Shares each representing 3 Ordinary Shares,Q,N,N,100
ARNA,"Arena Pharmaceuticals, Inc.","Arena Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AROW,Arrow Financial Corporation,Arrow Financial Corporation - Common Stock,Q,N,N,100
ARQL,"ArQule, Inc.","ArQule, Inc. - Common Stock",G,N,N,100
ARRS,"ARRIS Group, Inc.","ARRIS Group, Inc. - Common Stock",Q,N,N,100
ARRY,Array BioPharma Inc.,Array BioPharma Inc. - Common Stock,G,N,N,100
ARTNA,Artesian Resources Corporation,Artesian Resources Corporation - Class A Non-Voting Common Stock,Q,N,N,100
ARTW,Art's,"Art's-Way Manufacturing Co., Inc. - Common Stock",S,N,N,100
ARTX,Arotech Corporation,Arotech Corporation - Common Stock,G,N,N,100
ARUN,"Aruba Networks, Inc.","Aruba Networks, Inc. - Common Stock",Q,N,N,100
ARWR,Arrowhead Research Corporation,Arrowhead Research Corporation - Common Stock,Q,N,N,100
ASBB,"ASB Bancorp, Inc.","ASB Bancorp, Inc. - Common Stock",G,N,N,100
ASBI,Ameriana Bancorp,Ameriana Bancorp - Common Stock,S,N,N,100
ASCMA,"Ascent Capital Group, Inc.","Ascent Capital Group, Inc. - Series A Common Stock",Q,N,N,100
ASEI,"American Science and Engineering, Inc.","American Science and Engineering, Inc. - Common Stock",Q,N,N,100
ASFI,"Asta Funding, Inc.","Asta Funding, Inc. - Common Stock",Q,N,N,100
ASMB,"Assembly Biosciences, Inc.","Assembly Biosciences, Inc. - Common Stock",S,N,N,100
ASMI,ASM International N.V.,ASM International N.V. - Common Shares,Q,N,N,100
ASML,ASML Holding N.V.,ASML Holding N.V. - ADS represents 1 ordinary share,Q,N,N,100
ASNA,"Ascena Retail Group, Inc.","Ascena Retail Group, Inc. - Common Stock",Q,N,N,100
ASPS,Altisource Portfolio Solutions S.A.,Altisource Portfolio Solutions S.A. - Common Stock,Q,N,N,100
ASPX,"Auspex Pharmaceuticals, Inc.","Auspex Pharmaceuticals, Inc. - Common Stock",G,N,N,100
ASRV,AmeriServ Financial Inc.,AmeriServ Financial Inc. - Common Stock,G,N,N,100
ASRVP,AmeriServ Financial Inc.,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A",G,N,N,100
ASTC,Astrotech Corporation,Astrotech Corporation - Common Stock,S,N,N,100
ASTE,"Astec Industries, Inc.","Astec Industries, Inc. - Common Stock",Q,N,N,100
ASTI,"Ascent Solar Technologies, Inc.","Ascent Solar Technologies, Inc. - Common Stock",S,N,N,100
ASUR,Asure Software Inc,Asure Software Inc - Common Stock,S,N,N,100
ASYS,"Amtech Systems, Inc.","Amtech Systems, Inc. - Common Stock",Q,N,N,100
ATAI,ATA Inc.,"ATA Inc. - American Depositary Shares, each representing two common shares",G,N,N,100
ATAX,"America First Multifamily Investors, L.P.","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",Q,N,N,100
ATEA,"Astea International, Inc.","Astea International, Inc. - Common Stock",S,N,D,100
ATEC,"Alphatec Holdings, Inc.","Alphatec Holdings, Inc. - Common Stock",Q,N,N,100
ATHN,"athenahealth, Inc.","athenahealth, Inc. - Common Stock",Q,N,N,100
ATHX,"Athersys, Inc.","Athersys, Inc. - Common Stock",S,N,N,100
ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation - Common Stock,Q,N,N,100
ATLO,Ames National Corporation,Ames National Corporation - Common Stock,S,N,N,100
ATML,Atmel Corporation,Atmel Corporation - Common Stock,Q,N,N,100
ATNI,Atlantic Tele,"Atlantic Tele-Network, Inc. - Common Stock",Q,N,N,100
ATNY,API Technologies Corp.,API Technologies Corp. - Common Stock,S,N,N,100
ATOS,Atossa Genetics Inc.,Atossa Genetics Inc. - Common Stock,S,N,N,100
ATRA,"Atara Biotherapeutics, Inc.","Atara Biotherapeutics, Inc. - Common Stock",Q,N,N,100
ATRC,"AtriCure, Inc.","AtriCure, Inc. - Common Stock",G,N,N,100
ATRI,ATRION Corporation,ATRION Corporation - Common Stock,Q,N,N,100
ATRM,"ATRM Holdings, Inc.","ATRM Holdings, Inc. - Common Stock",S,N,E,100
ATRO,Astronics Corporation,Astronics Corporation - Common Stock,Q,N,N,100
ATRS,"Antares Pharma, Inc.","Antares Pharma, Inc. - Common Stock",S,N,N,100
ATSG,"Air Transport Services Group, Inc","Air Transport Services Group, Inc - Common Stock",Q,N,N,100
ATTU,Attunity Ltd.,Attunity Ltd. - Ordinary Shares,S,N,N,100
ATVI,"Activision Blizzard, Inc","Activision Blizzard, Inc - Common Stock",Q,N,N,100
AUBN,"Auburn National Bancorporation, Inc.","Auburn National Bancorporation, Inc. - Common Stock",G,N,N,100
AUDC,AudioCodes Ltd.,AudioCodes Ltd. - Ordinary Shares,Q,N,N,100
AUMA,AR Capital Acquisition Corp.,AR Capital Acquisition Corp. - Common Stock,S,N,N,100
AUMAU,AR Capital Acquisition Corp.,AR Capital Acquisition Corp. - Units,S,N,N,100
AUMAW,AR Capital Acquisition Corp.,AR Capital Acquisition Corp. - Warrants,S,N,N,100
AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc - Common Shares,G,N,N,100
AUXL,"Auxilium Pharmaceuticals, Inc.","Auxilium Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
AVAV,"AeroVironment, Inc.","AeroVironment, Inc. - Common Stock",Q,N,N,100
AVEO,"AVEO Pharmaceuticals, Inc.","AVEO Pharmaceuticals, Inc. - Common Stock",Q,N,D,100
AVGO,Avago Technologies Limited,Avago Technologies Limited - Ordinary Shares,Q,N,N,100
AVHI,"A V Homes, Inc.","A V Homes, Inc. - Common Stock",Q,N,N,100
AVID,"Avid Technology, Inc.","Avid Technology, Inc. - Common Stock",Q,N,N,100
AVNR,"Avanir Pharmaceuticals, Inc.","Avanir Pharmaceuticals, Inc. - Class A Common Stock",Q,N,N,100
AVNW,"Aviat Networks, Inc.","Aviat Networks, Inc. - Common Stock",Q,N,N,100
AWAY,"HomeAway, Inc.","HomeAway, Inc. - Common Stock",Q,N,N,100
AWRE,"Aware, Inc.","Aware, Inc. - Common Stock",G,N,N,100
AXAS,Abraxas Petroleum Corporation,Abraxas Petroleum Corporation - Common Stock,S,N,N,100
AXDX,"Accelerate Diagnostics, Inc.","Accelerate Diagnostics, Inc. - Common Stock",S,N,N,100
AXGN,"AxoGen, Inc.","AxoGen, Inc. - Common Stock",S,N,N,100
AXJS,iShares MSCI All Country Asia ex Japan Small Cap Index Fund,iShares MSCI All Country Asia ex Japan Small Cap Index Fund,G,N,N,100
AXPW,"Axion Power International, Inc.","Axion Power International, Inc. - Common Stock",S,N,N,100
AXPWW,"Axion Power International, Inc.","Axion Power International, Inc. - Series A Warrants",S,N,N,100
AXTI,AXT Inc,AXT Inc - Common Stock,Q,N,N,100
AZPN,"Aspen Technology, Inc.","Aspen Technology, Inc. - Common Stock",Q,N,N,100
BABY,Natus Medical Incorporated,Natus Medical Incorporated - Common Stock,Q,N,N,100
BAGR,"Diversified Restaurant Holdings, Inc.","Diversified Restaurant Holdings, Inc. - Common Stock",S,N,N,100
BAMM,Books,"Books-A-Million, Inc. - Common Stock",Q,N,N,100
BANF,BancFirst Corporation,BancFirst Corporation - Common Stock,Q,N,N,100
BANFP,BancFirst Corporation,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities,Q,N,N,100
BANR,Banner Corporation,Banner Corporation - Common Stock,Q,N,N,100
BANX,StoneCastle Financial Corp,StoneCastle Financial Corp - Common Stock,Q,N,N,100
BASI,"Bioanalytical Systems, Inc.","Bioanalytical Systems, Inc. - Common Stock",S,N,N,100
BBBY,Bed Bath & Beyond Inc.,Bed Bath & Beyond Inc. - Common Stock,Q,N,N,100
BBC,BioShares Biotechnology Clinical Trials Fund,BioShares Biotechnology Clinical Trials Fund,G,N,N,100
BBCN,"BBCN Bancorp, Inc.","BBCN Bancorp, Inc. - Common Stock",Q,N,N,100
BBEP,"BreitBurn Energy Partners, L.P.","BreitBurn Energy Partners, L.P. - Common Units Representing Limited Partnership",Q,N,N,100
